3.0 Policy Priority Areas,3.0 Mfundo Zopambana Mndondomekozi
The Policy outlines six priority areas for climate change management in the country.,Ndondomekozi zili ndi mfundo zisanu ndi imodzi zokhudza kayendetsedwe ka ntchito  yolimba ndi kusintha kwa nyengo mu dziko muno.
This has been aligned with the global climate change framework. ,Izi zasanjidwa molingana ndi ndondomeko zokhudza kayendetsedwe ntchito za kusintha kwa nyengo ya pa dziko lonse lapansi. 
"Each priority area has associated policy statements, specific objectives and sectoral strategies.","Pansi pa mfundo iliyonse pali ziganizo zochokera ku ndondomeko zikuluzikulu, zolinga zachindunji, komanso mfundo zoyenera kutsatidwa malinga ndi magawo."
3.1 Climate Change Adaptation,3.1 Kachepetsedwe ka Zotsatira za kusintha kwa Nyengo
Adaptation to climate change is any activity that reduces the negative impacts of climate change ,Kuchepetsa zotsatira za kusintha kwanyengo zikutanthauza zochitika zilizonse zimene zingachepetse mavuto amene amabwera chifukwa cha kusintha kwa nyengo  
and/or takes advantage of new opportunities for sustainable development.,kapena kugwiritsa ntchito kusintha kwanyengoku monga chichirikizo cha chitukuko.
"As a least developed country, adaptation to climate change is a priority area for Malawi ","Monga limodzi mwa maiko osaukitsitsa, kuchepetsa mavuto a kusintha kwa nyengo ndi mbali yopambana kudziko la Malawi "
due to its vulnerability to adverse effects of climate change ,chifukwa ndi lokhudzidwa kwambiri ndi mavuto ankhaninkhani obwera chifukwa cha kusintha kwa nyengo 
and limited adaptive capacity. ,komanso chifukwa cha kupanda zinthu zofunika pofuna kuchepetsa zotsatira za kusintha kwanyengo.
"Adaptation to climate change in Malawi is hampered by the country’s heavy dependence on natural resources,","Kuchepetsa mavuto obwera ndi kusintha kwanyengo ku dziko la Malawi n’kovuta kwambiri chifukwa limadalira zachilengedwe kwambiri,"
"endemicity to climatie sensitive diseases, high poverty and technical and financial rescources","chiopsezo cha matenda obwera chifukwa cha kusintha kwa nyengo, umphawi wa dzawoneni, komanso kusowa kwa zipangizo monga upangili ndi ndalama."
Policy Statements,Ziganizo za Ndondomeko
The Policy will:,Ndondomeko zidzachita izi:
reduce vulnerabilities of populations in Malawi and promote,Kuchepetsa chiopsezo kwa Amalawi komanso kuthandizira 
community and ecosystem resilience to the impacts of climate change,anthu ndi zolengedwa kupilira ku mavuto amene amabwera chifukwa cha kusintha kwa nyengo;
"ensure that women, girls and other vulnerable groups are engaged and involved","Kuonetsetsa kuti amayi, atsikana ndi anthu ena amene ali pa chiopsezo akutenga nawo mbali"
in planning and implementing climate change adaptation interventions; and,panthawi yokonza mapulani komanso kugwiritsa ntchito thandizo lochepetsera mavuto obwera chifukwa cha kusintha kwa nyengo komanso
ensure that communities are able to adapt to climate change,Kuonetsetsa kuti anthu mdera akutha kuchepetsa mavuto amene amabwera 
by promoting climate change adaptive development in the long term,"chifukwa cha kusintha kwa nyengo polimbikitsa njira zochepetsera mavuto obwera ndi kusintha kwa	nyengo zimene zidzakhalepo masiku amtsogolo."
3.2 Climate Change Mitigation,3.2 Kuthuza Kusintha kwa Nyengo
Climate change mitigation is any action to decrease the intensity of greenhouse gases,Tanthauzo la kuthuza kusintha kwa nyengo ndi zochitika zilizonse zimene zimatsitsa mlingo wa mipweya yotenthetsa dziko  
 in order to reduce the effects of global warming which result in extreme weather events.,ndi cholinga chofuna kuchepetsa zotsatira za kufunda kwa dziko kumene kumachititsa kuti nyengo zikhale zowawa.
"Removal of carbon sinks through deforestation, biomass energy dependence and land use changes","Kuchotsa zinthu zimene zimasunga mpweya wa kaboni kudzera mu kudula mitengo, kudalira mphamvu yamagetsi yochokera ku zomera komanso kusintha kwa kagwiritsidwe ntchito kwa nthaka. "
Policy Statements,Ziganizo za ndondomeko
The Policy will:,Ndondomekozi zidzachita izi:
(i) promote the reduction of greenhouse gas emissions; and,(i) Kupititsa patsogolo kuchepetsa mipweya yoyambitsa kutentha; komanso
(ii) enhance carbon sinks through re-afforestation and sustainable utilization of forest resources,(ii) Kuchulukitsa zinthu zimene zimathandizira kuyamwa mipweyayi monga kudzala mitengo komanso 
"3.3 Capacity Building, Education, Training and Awareness",3.3 Maphunziro
Education is a catalyst for socio-economic development and for empowering,"Maphunziro ndiwo gwero la chitukuko, komanso njira yoperekera mphamvu "
"the poor, the weak and voiceless.","kwa anthu osauka, olefuka, ndi omangika"
Inadequate capacity and skills in climate change management may be a hindrance,Kusoweka kwa maphunziro a mmene tingayendetsere za kusintha kwa nyengo kungakhale chopinga 
to effective implementation of climate change adaptation and mitigation activities.,pa ntchito yochepetsa ukali komanso kuthuza ululu wa kusintha kwa nyengo.
Malawi developed the National Education Sector Plan,Dziko la Malawi lidakhazikitsa mapulani a gawo la maphunziro 
NESP 2002-2016,"(National Education Sector Plan, NESP 2007-2016) "
"whose main pillars are access, equity, quality,","amene msanamila zake ndi kapezedwe ka maphunziro, chilungamo, ubwino wa chinthu"
elevance and governance.,"kugwirizana ndi zokhumba, komanso ulamuliro"
The National Climate Change Management Policy supports NESP,Ndondomeko za kayendetsedwe ka ntchito zokhudza kusintha kwa nyengo m’dziko muno zikugwirizana kwatunthu ndi mapulani a dziko lino a gawo la maphunziro
in order to enhance human and institutional capacity for building community and ecosystem resilience to climate change in Malawi.,pofuna kuti anthu ndi mabungwe akhale ndi kuthekera kochititsa kuti anthu ndi zachilengedwe apirire ku kusintha kwa nyengo
The Capacity and Training Needs Assessment Report will be updated periodically to cater for new developments.,Lipoti la kafukufuku wa ukadaulo ndi maphunziro amene akufunika lidzaunikidwa pa nthawi zoikika ndicholinga cholowetsamo zinthu zina zimene zidzakhale zikuchitika panthawiyo.
Resource mobilization mechanisms will also be established to ensure effective implementation of interventions,Njira zopezera ndalama ndi zipangizo zofunikira zidzakhazikitsidwa pofuna kuwonetsetsa kuti pali ntchito yolozeka
